frame_idx_global,session,row,phaseg_correct_red,phaseg_shuf_red,phaseg_fake5k_red,phaseg_fake25k_red,phaseg_fake70k_red,phaseg_fake100k_red,delta_red_shuf,delta_red_fake100k,binder_e2fp16_red,ae64f_correct_red,z_correct_mean,z_correct_p95,z_shuf_mean,z_shuf_p95,z_fake100k_mean,z_fake100k_p95,excess_shuf_mean,excess_shuf_p95,excess_shuf_red,excess_fake100k_mean,excess_fake100k_p95,excess_fake100k_red,has_real,has_shuf,has_fake5k,has_fake25k,has_fake70k,has_fake100k,has_binder,has_ae
43,D2,43,0.00466,0.07438,0.10016,0.07119,0.06632,0.06289,0.06972,0.05823,0.00022,0.01581,1.0168,2.9341,4.0047,14.8742,3.4865,13.6228,1.4926,4.0000,0.42769,1.3137,4.0000,0.37498,1,1,1,1,1,1,1,1
44,D2,44,0.00570,0.07931,0.09316,0.06506,0.05890,0.05621,0.07361,0.05052,0.00039,0.02214,1.0304,2.9607,4.0634,15.2297,3.4442,12.9340,1.5035,4.0000,0.42617,1.3262,4.0000,0.37858,1,1,1,1,1,1,1,1
45,D2,45,0.00454,0.08632,0.09823,0.06972,0.06301,0.05589,0.08179,0.05135,0.00024,0.01957,1.0312,3.0263,4.1782,16.2366,3.3052,12.9904,1.4823,4.0000,0.42102,1.2653,4.0000,0.36641,1,1,1,1,1,1,1,1
46,D2,46,0.00537,0.07794,0.08459,0.06193,0.05827,0.05570,0.07257,0.05033,0.00012,0.01925,1.0404,3.0470,4.1294,15.2191,3.3790,12.9324,1.4988,4.0000,0.42822,1.2892,4.0000,0.37227,1,1,1,1,1,1,1,1
47,D2,47,0.00566,0.07810,0.09096,0.06614,0.06319,0.06150,0.07245,0.05585,0.00090,0.02340,1.0699,3.2090,4.0530,15.0594,3.5872,13.4023,1.4724,4.0000,0.41713,1.3816,4.0000,0.39679,1,1,1,1,1,1,1,1
48,D2,48,0.00513,0.08120,0.10154,0.07052,0.05994,0.05373,0.07607,0.04860,0.00031,0.01467,1.0180,2.9719,4.1121,15.4620,3.3512,12.6856,1.4996,4.0000,0.42483,1.2727,4.0000,0.36589,1,1,1,1,1,1,1,1
49,D2,49,0.00492,0.08069,0.09930,0.07261,0.06850,0.06553,0.07576,0.06061,0.00026,0.01872,1.0292,2.9449,4.0531,15.1797,3.6140,14.0808,1.4610,4.0000,0.41252,1.3623,4.0000,0.38914,1,1,1,1,1,1,1,1
50,D2,50,0.00494,0.06812,0.09644,0.07186,0.06254,0.05686,0.06317,0.05192,0.00067,0.02124,1.0434,3.0585,3.8404,14.0639,3.3469,13.0012,1.4594,4.0000,0.42128,1.2622,4.0000,0.35976,1,1,1,1,1,1,1,1
51,D2,51,0.00498,0.07579,0.10669,0.08232,0.07707,0.07424,0.07080,0.06925,0.00043,0.01742,1.0565,3.1477,4.1287,14.8129,3.8241,14.6331,1.5570,4.0000,0.44436,1.4218,4.0000,0.40299,1,1,1,1,1,1,1,1
52,D2,52,0.00462,0.07699,0.09593,0.07235,0.07031,0.06639,0.07237,0.06177,0.00037,0.01927,1.0314,3.1449,4.0800,14.9919,3.6434,14.2163,1.5372,4.0000,0.44269,1.3729,4.0000,0.39014,1,1,1,1,1,1,1,1
