session,row,mode,sigma_target,achieved_delta_rms,achieved_delta_max,achieved_delta_p95,fraction_changed,fraction_clipped,score_baseline,score_perturbed,delta_score
D2,1481,B_phase_g_input,0.5,0.35181060433387756,1.0,0.6513841152191162,0.9749158223470052,0.3606380886501736,0.003368620073888451,0.005623728566570207,0.002255108492681756
D2,1481,C_binder_resolution,0.1,0.053922101855278015,0.2753084897994995,0.10609255731105804,0.8461875915527344,0.017403496636284724,0.003368620073888451,0.0034398221760056913,7.120210211724026e-05
D2,1481,C_binder_resolution,0.3,0.15554894506931305,0.7575163245201111,0.3046831488609314,0.9423650105794271,0.06620237562391493,0.003368620073888451,0.0038473168853670357,0.00047869681147858466
D2,1481,C_binder_resolution,0.5,0.240003302693367,1.0,0.46337687969207764,0.9613511827256944,0.1542994181315104,0.003368620073888451,0.004459600051632151,0.0010909799777437
D2,1498,A_rendered,0.1,0.04834994673728943,0.24376633763313293,0.09519333392381668,0.8281343248155382,0.017780303955078125,0.003590842057019472,0.0036494351807050407,5.8593123685568745e-05
D2,1498,A_rendered,0.3,0.1405392587184906,0.6771246790885925,0.2756027579307556,0.9351179334852431,0.05761845906575521,0.003590842057019472,0.0040056322468444705,0.00041479018982499855
D2,1498,A_rendered,0.5,0.21993109583854675,1.0,0.42733994126319885,0.9566951327853732,0.1306855943467882,0.003590842057019472,0.004522505961358547,0.0009316639043390751
D2,1498,B_phase_g_input,0.1,0.09775863587856293,0.5051091909408569,0.19198958575725555,0.9105873107910156,0.034380594889322914,0.003590842057019472,0.0038256365747656672,0.00023479451774619528
D2,1498,B_phase_g_input,0.3,0.2579837441444397,1.0,0.49586057662963867,0.9627982245551215,0.18183983696831596,0.003590842057019472,0.004925274243578315,0.001334432186558843
D2,1498,B_phase_g_input,0.5,0.35117360949516296,1.0,0.6509803533554077,0.9732916090223525,0.3606495327419705,0.003590842057019472,0.005952116497792303,0.0023612744407728314
D2,1498,C_binder_resolution,0.1,0.053910329937934875,0.28552812337875366,0.10609821230173111,0.8445383707682291,0.019272274441189237,0.003590842057019472,0.0036687572370283305,7.791518000885853e-05
D2,1498,C_binder_resolution,0.3,0.15535226464271545,0.8409151434898376,0.30447155237197876,0.9406441582573785,0.06814278496636285,0.003590842057019472,0.004112447850639,0.0005216057936195282
D2,1498,C_binder_resolution,0.5,0.23971274495124817,1.0,0.46304625272750854,0.9599503411187066,0.1561652289496528,0.003590842057019472,0.004675940511515364,0.001085098454495892
D2,1515,A_rendered,0.1,0.048384033143520355,0.24435365200042725,0.09519292414188385,0.82886717054579,0.017052544487847224,0.0035279689414892345,0.0035812723683193324,5.3303426830097946e-05
D2,1515,A_rendered,0.3,0.14091959595680237,0.7195955514907837,0.2763060927391052,0.9353137546115451,0.05489688449435764,0.0035279689414892345,0.003905167372431606,0.00037719843094237166
D2,1515,A_rendered,0.5,0.220597043633461,0.9943965077400208,0.4278867244720459,0.9571957058376737,0.12688573201497397,0.0035279689414892345,0.004406215285416693,0.0008782463439274582
D2,1515,B_phase_g_input,0.1,0.09788715094327927,0.5016950368881226,0.19237872958183289,0.910467783610026,0.03240924411349826,0.0035279689414892345,0.003736259846482426,0.00020829090499319136
D2,1515,B_phase_g_input,0.3,0.2582394480705261,1.0,0.49541419744491577,0.9634628295898438,0.1777377658420139,0.0035279689414892345,0.00478742946870625,0.0012594605272170157
D2,1515,B_phase_g_input,0.5,0.3517124652862549,1.0,0.6482568383216858,0.9736925760904948,0.35927708943684894,0.0035279689414892345,0.005760192789603024,0.00223222384811379
D2,1515,C_binder_resolution,0.1,0.0538889579474926,0.2772734761238098,0.10601738840341568,0.8451898362901475,0.018318600124782987,0.0035279689414892345,0.00360140340635553,7.343446486629546e-05
D2,1515,C_binder_resolution,0.3,0.1559683382511139,0.7470017075538635,0.30553609132766724,0.9414037068684896,0.06514400906032985,0.0035279689414892345,0.003986282524419948,0.0004583135829307138
D2,1515,C_binder_resolution,0.5,0.2405654639005661,1.0,0.46405231952667236,0.9606814914279513,0.15217632717556423,0.0035279689414892345,0.004605221783276647,0.0010772528417874127
D2,1532,A_rendered,0.1,0.04839488863945007,0.25998184084892273,0.0951915979385376,0.8283492194281684,0.017134348551432293,0.0034204244730062783,0.0034766336670145393,5.620919400826105e-05
D2,1532,A_rendered,0.3,0.14051133394241333,0.7232062816619873,0.2757813036441803,0.9356511433919271,0.057498931884765625,0.0034204244730062783,0.0038218071218580007,0.0004013826488517224
D2,1532,A_rendered,0.5,0.21999870240688324,0.9884137511253357,0.4267858862876892,0.9575852288140191,0.13075468275282118,0.0034204244730062783,0.004301412223139778,0.0008809877501334993
D2,1532,B_phase_g_input,0.1,0.09775128215551376,0.49526581168174744,0.1919659525156021,0.9105796813964844,0.033800760904947914,0.0034204244730062783,0.00363848393317312,0.00021805946016684175
D2,1532,B_phase_g_input,0.3,0.257564902305603,1.0,0.4951361417770386,0.9634475708007812,0.18158679538302952,0.0034204244730062783,0.00466324069420807,0.001242816221201792
D2,1532,B_phase_g_input,0.5,0.3515048027038574,1.0,0.6527233123779297,0.9741448296440972,0.36171001858181423,0.0034204244730062783,0.005622902046889066,0.002202477573882788
D2,1532,C_binder_resolution,0.1,0.05387058109045029,0.2718076705932617,0.10598789900541306,0.8450486924913194,0.0185089111328125,0.0034204244730062783,0.0034970133099704983,7.658883696421998e-05
D2,1532,C_binder_resolution,0.3,0.1555352807044983,0.7441291809082031,0.30467069149017334,0.9413469102647569,0.06762992011176215,0.0034204244730062783,0.0038944260450080037,0.00047400157200172544
D2,1532,C_binder_resolution,0.5,0.23979304730892181,1.0,0.463586688041687,0.9607251485188802,0.15528784857855904,0.0034204244730062783,0.004506767576094717,0.0010863431030884389
